iter	RMSE	MAE
0	1.008639929	0.6843475476
1	0.997643373	0.6718082251
2	0.9842355943	0.6590585835
3	0.9676670827	0.6446237151
4	0.9530580104	0.6312332502
5	0.939753891	0.6184073627
6	0.9234703376	0.6054671997
7	0.9065962785	0.5929672013
8	0.8964471818	0.5823878038
9	0.8827769863	0.5706228591
10	0.8704955149	0.5600613022
11	0.8617647512	0.5512469009
12	0.852573205	0.5425126359
13	0.8406914201	0.532576256
14	0.8295650946	0.5236018872
15	0.8187925164	0.5143979689
16	0.8073508837	0.5049394514
17	0.7968356517	0.4957374906
18	0.7858575318	0.4870134722
19	0.7747899781	0.4786111992
20	0.7653539282	0.4709136483
21	0.7547184019	0.4630782961
22	0.7470188841	0.4565209853
23	0.7393082787	0.4501911401
24	0.730710842	0.4432201256
25	0.7238724896	0.4374029976
26	0.7163789065	0.4309606745
27	0.7084445055	0.4247661523
28	0.6999757186	0.4182422533
29	0.6943694381	0.4130624957
30	0.689782702	0.4085208146
31	0.6808226426	0.4026590194
32	0.6738531801	0.3969674126
33	0.6662892659	0.3914851419
34	0.6611719525	0.3867294038
35	0.6548130883	0.3816438077
36	0.649244035	0.3770541676
37	0.6418702045	0.3718575357
38	0.6362222102	0.3673277614
39	0.6302566885	0.3626328422
40	0.6254851891	0.3585207916
41	0.6203316159	0.3544720216
42	0.6153705068	0.3510752482
43	0.6086469296	0.3462308412
44	0.6023977579	0.3416109644
45	0.5973207096	0.337855251
46	0.5934609421	0.3347718141
47	0.5879849161	0.3308612521
48	0.5819741444	0.3267994555
49	0.5759353384	0.3227975617
50	0.5690999619	0.3189076454
51	0.5644440231	0.3158515392
52	0.5600063303	0.3130227682
53	0.5542438398	0.3099948354
54	0.5500349449	0.3070395087
55	0.5441781891	0.3033252125
56	0.5403538307	0.3007243912
57	0.5367879655	0.2980613998
58	0.5336064032	0.2959503894
59	0.5298599463	0.2932446997
60	0.5253223177	0.2907778949
61	0.5214954253	0.2881115191
62	0.5183601484	0.2859807033
63	0.5151121931	0.2839030997
64	0.511538128	0.2814066999
65	0.5094916381	0.2798195701
66	0.506286897	0.2777542217
67	0.5038400814	0.2759140638
68	0.5005084291	0.2738234365
69	0.4970347201	0.27177454
70	0.4930215329	0.2693815518
71	0.4909092719	0.2678057014
72	0.4871630583	0.2658123182
73	0.4838507488	0.2638051306
74	0.4789661524	0.2615854865
75	0.476374265	0.2597743591
76	0.473014316	0.2578331344
77	0.4699313244	0.2560129592
78	0.4679517104	0.254701615
79	0.4664945611	0.2534651203
80	0.4635685091	0.2517131418
81	0.4591748175	0.2494543958
82	0.4561276971	0.2477626968
