iter	Passed	Remaining
0	2	425
1	4	471
2	7	489
3	9	488
4	12	477
5	14	469
6	17	472
7	19	463
8	21	461
9	24	466
10	26	458
11	29	454
12	31	451
13	33	445
14	35	440
15	38	437
16	40	433
17	42	429
18	44	425
19	46	422
20	49	419
21	51	415
22	53	412
23	55	410
24	58	406
25	60	403
26	62	400
27	64	398
28	67	395
29	69	392
30	71	390
31	73	387
32	75	384
33	78	382
34	80	379
35	82	376
36	84	374
37	87	371
38	89	368
39	91	366
40	93	363
41	95	361
42	98	358
43	100	356
44	102	353
45	104	351
46	107	348
47	109	346
48	111	343
49	113	341
50	115	338
51	118	335
52	120	333
53	122	331
54	124	328
55	126	326
56	129	323
57	131	321
58	133	318
59	135	316
60	137	314
61	140	311
62	142	309
63	144	306
64	146	304
65	148	302
66	151	299
67	153	297
68	155	295
69	157	292
70	159	290
71	162	288
72	164	286
73	166	283
74	168	281
75	171	279
76	173	276
77	175	274
78	177	272
79	179	269
80	182	267
81	184	265
82	186	262
83	188	260
84	190	258
85	193	256
86	195	254
87	198	252
88	200	250
89	202	247
90	205	245
91	207	243
92	226	260
93	228	257
94	230	254
95	232	251
96	234	249
97	236	246
98	238	243
99	241	241
100	243	238
101	245	235
102	247	233
103	249	230
104	251	227
105	254	225
106	256	222
107	258	220
108	260	217
109	262	215
110	265	212
111	267	209
112	269	207
113	273	206
114	275	203
115	277	201
116	280	198
117	282	196
118	284	193
119	302	201
120	304	198
121	306	195
122	308	193
123	310	190
124	312	187
125	314	184
126	317	182
127	319	179
128	321	177
129	323	174
130	325	171
131	328	169
132	330	166
133	332	163
134	334	161
135	336	158
136	338	155
137	341	153
138	343	150
139	345	148
140	347	145
141	349	142
142	352	140
143	354	137
144	356	135
145	358	132
146	360	130
147	362	127
148	365	124
149	367	122
150	369	119
151	371	117
152	373	114
153	375	112
154	378	109
155	380	107
156	382	104
157	384	102
158	386	99
159	389	97
160	391	94
161	393	92
162	395	89
163	397	87
164	399	84
165	402	82
166	404	79
167	406	77
168	408	74
169	410	72
170	413	70
171	415	67
172	417	65
173	419	62
174	421	60
175	423	57
176	426	55
177	428	52
178	430	50
179	432	48
180	434	45
181	436	43
182	439	40
183	441	38
184	443	35
185	445	33
186	447	31
187	449	28
188	452	26
189	454	23
190	456	21
191	458	19
192	461	16
193	463	14
194	465	11
195	467	9
196	469	7
197	472	4
198	474	2
199	476	0
